price_bin_low,price_bin_high,bin_mid,volume_sum,csi,pct_of_total_volume
757.8322,765.7811,761.8066,254109589.1946,0.0204,0.0098
765.7811,773.7301,769.7556,384932368.7438,0.0309,0.0149
773.7301,781.6791,777.7046,380862710.0675,0.0306,0.0147
781.6791,789.628,785.6536,354087303.9033,0.0284,0.0137
789.628,797.577,793.6025,108349902.1893,0.0087,0.0042
797.577,805.526,801.5515,304008563.3883,0.0244,0.0117
805.526,813.4749,809.5004,132036666.8561,0.0106,0.0051
813.4749,821.4239,817.4494,295967470.7142,0.0238,0.0114
821.4239,829.3729,825.3984,331926791.5526,0.0267,0.0128
829.3729,837.3218,833.3474,354555467.5548,0.0285,0.0137
837.3218,845.2708,841.2963,217092084.7493,0.0174,0.0084
845.2708,853.2198,849.2453,211936951.6652,0.017,0.0082
853.2198,861.1687,857.1942,260412019.4419,0.0209,0.0101
861.1687,869.1177,865.1432,259073687.4225,0.0208,0.01
869.1177,877.0667,873.0922,411100163.1609,0.033,0.0159
877.0667,885.0156,881.0412,132673330.653,0.0107,0.0051
885.0156,892.9646,888.9901,127027038.3566,0.0102,0.0049
892.9646,900.9136,896.9391,132949255.7897,0.0107,0.0051
900.9136,908.8625,904.888,415179551.7923,0.0333,0.016
908.8625,916.8115,912.837,440561840.9673,0.0354,0.017
916.8115,924.7605,920.786,576458751.3907,0.0463,0.0223
924.7605,932.7094,928.735,187135890.1691,0.015,0.0072
932.7094,940.6584,936.6839,856349704.4189,0.0688,0.0331
940.6584,948.6074,944.6329,524609007.0844,0.0421,0.0203
948.6074,956.5563,952.5818,486751964.611,0.0391,0.0188
956.5563,964.5053,960.5308,628419510.7263,0.0505,0.0243
964.5053,972.4543,968.4798,1185308458.4661,0.0952,0.0458
972.4543,980.4032,976.4288,969780384.4027,0.0779,0.0375
980.4032,988.3522,984.3777,398862153.8798,0.032,0.0154
988.3522,996.3012,992.3267,1588885038.3567,0.1276,0.0614
996.3012,1004.2501,1000.2756,1332254002.7838,0.107,0.0515
1004.2501,1012.1991,1008.2246,969886006.2084,0.0779,0.0375
1012.1991,1020.1481,1016.1736,1006160464.8285,0.0808,0.0389
1020.1481,1028.097,1024.1226,1854081436.4801,0.1489,0.0716
1028.097,1036.046,1032.0715,2372325716.0902,0.1906,0.0917
1036.046,1043.995,1040.0205,2094750677.4631,0.1683,0.0809
1043.995,1051.9439,1047.9694,1626534300.2759,0.1306,0.0629
1051.9439,1059.8929,1055.9184,2104212426.2829,0.169,0.0813
1059.8929,1067.8419,1063.8674,2748612688.6422,0.2208,0.1062
1067.8419,1075.7908,1071.8164,3078589734.3241,0.2473,0.119
1075.7908,1083.7398,1079.7653,2765241384.3048,0.2221,0.1069
1083.7398,1091.6888,1087.7143,2674812433.5914,0.2148,0.1034
1091.6888,1099.6377,1095.6632,4045822018.1254,0.325,0.1563
1099.6377,1107.5867,1103.6122,3785519735.2793,0.3041,0.1463
1107.5867,1115.5357,1111.5612,4352221211.1524,0.3496,0.1682
1115.5357,1123.4846,1119.5102,2762022011.8786,0.2219,0.1067
1123.4846,1131.4336,1127.4591,2590430146.0592,0.2081,0.1001
1131.4336,1139.3826,1135.4081,3269479263.2577,0.2626,0.1263
1139.3826,1147.3315,1143.357,3629587976.7476,0.2915,0.1403
1147.3315,1155.2805,1151.306,2442468102.3507,0.1962,0.0944
1155.2805,1163.2295,1159.255,2238301542.121,0.1798,0.0865
1163.2295,1171.1784,1167.204,3549933048.2239,0.2851,0.1372
1171.1784,1179.1274,1175.1529,3945317635.9275,0.3169,0.1525
1179.1274,1187.0764,1183.1019,3812340456.1135,0.3062,0.1473
1187.0764,1195.0253,1191.0508,5169585480.1779,0.4152,0.1998
1195.0253,1202.9743,1198.9998,5521133867.954,0.4435,0.2133
1202.9743,1210.9233,1206.9488,5222099415.7561,0.4195,0.2018
1210.9233,1218.8722,1214.8978,8126961457.1126,0.6528,0.314
1218.8722,1226.8212,1222.8467,7258439020.5938,0.583,0.2805
1226.8212,1234.7702,1230.7957,5635438903.2307,0.4527,0.2178
1234.7702,1242.7191,1238.7446,4554190712.9256,0.3658,0.176
1242.7191,1250.6681,1246.6936,3895289010.5918,0.3129,0.1505
1250.6681,1258.6171,1254.6426,4203208318.8008,0.3376,0.1624
1258.6171,1266.566,1262.5916,6056400199.9707,0.4865,0.234
1266.566,1274.515,1270.5405,4425028043.434,0.3554,0.171
1274.515,1282.464,1278.4895,4084145791.3576,0.328,0.1578
1282.464,1290.4129,1286.4385,4803156203.6833,0.3858,0.1856
1290.4129,1298.3619,1294.3874,4199808433.8496,0.3373,0.1623
1298.3619,1306.3109,1302.3364,4333005749.1645,0.348,0.1674
1306.3109,1314.2598,1310.2854,4631615880.7286,0.372,0.179
1314.2598,1322.2088,1318.2343,5696271267.9126,0.4575,0.2201
1322.2088,1330.1578,1326.1833,7265549941.8348,0.5836,0.2807
1330.1578,1338.1067,1334.1323,6039015839.5421,0.4851,0.2334
1338.1067,1346.0557,1342.0812,4447404204.499,0.3572,0.1719
1346.0557,1354.0047,1350.0302,5248164490.2925,0.4215,0.2028
1354.0047,1361.9536,1357.9792,3585412660.8986,0.288,0.1385
1361.9536,1369.9026,1365.9281,3186631205.901,0.256,0.1231
1369.9026,1377.8516,1373.8771,3336205815.9589,0.268,0.1289
1377.8516,1385.8005,1381.8261,2353562931.2951,0.189,0.0909
1385.8005,1393.7495,1389.775,1731410722.5968,0.1391,0.0669
1393.7495,1401.6985,1397.724,1185211554.9593,0.0952,0.0458
1401.6985,1409.6474,1405.673,1731116163.4384,0.139,0.0669
1409.6474,1417.5964,1413.6219,2673169358.8451,0.2147,0.1033
1417.5964,1425.5454,1421.5709,2166581978.3808,0.174,0.0837
1425.5454,1433.4943,1429.5199,4133559253.2773,0.332,0.1597
1433.4943,1441.4433,1437.4688,2221031355.1498,0.1784,0.0858
1441.4433,1449.3923,1445.4178,1997412441.5628,0.1604,0.0772
1449.3923,1457.3412,1453.3668,3173157855.5982,0.2549,0.1226
1457.3412,1465.2902,1461.3157,3029663813.159,0.2433,0.1171
1465.2902,1473.2392,1469.2647,3242877603.3956,0.2605,0.1253
1473.2392,1481.1881,1477.2137,3191044699.2538,0.2563,0.1233
1481.1881,1489.1371,1485.1626,4275997364.9939,0.3435,0.1652
1489.1371,1497.0861,1493.1116,3829005431.4369,0.3076,0.148
1497.0861,1505.035,1501.0606,2773198320.1244,0.2227,0.1072
1505.035,1512.984,1509.0095,3658135671.062,0.2938,0.1414
1512.984,1520.933,1516.9585,4318482345.4162,0.3469,0.1669
1520.933,1528.8819,1524.9075,5538418579.26,0.4449,0.214
1528.8819,1536.8309,1532.8564,5670560413.0432,0.4555,0.2191
1536.8309,1544.7799,1540.8054,6356590495.3385,0.5106,0.2456
1544.7799,1552.7288,1548.7544,7168807186.4672,0.5758,0.277
1552.7288,1560.6778,1556.7033,8104290397.9601,0.651,0.3132
1560.6778,1568.6268,1564.6523,9735055660.6534,0.7819,0.3762
1568.6268,1576.5757,1572.6013,9468793101.9048,0.7606,0.3659
1576.5757,1584.5247,1580.5502,9273351365.6521,0.7449,0.3583
1584.5247,1592.4737,1588.4992,9610711073.8199,0.772,0.3714
1592.4737,1600.4226,1596.4482,7847706144.2697,0.6303,0.3032
1600.4226,1608.3716,1604.3971,6916167938.7126,0.5555,0.2672
1608.3716,1616.3206,1612.3461,6431354254.2244,0.5166,0.2485
1616.3206,1624.2695,1620.2951,9672378416.9879,0.7769,0.3738
1624.2695,1632.2185,1628.244,10486864843.9208,0.8423,0.4052
1632.2185,1640.1675,1636.193,12449866905.3959,1.0,0.4811
1640.1675,1648.1164,1644.142,8886298454.5415,0.7138,0.3434
1648.1164,1656.0654,1652.0909,8169141191.0163,0.6562,0.3157
1656.0654,1664.0144,1660.0399,7135416665.9385,0.5731,0.2757
1664.0144,1671.9633,1667.9889,6387781311.6138,0.5131,0.2468
1671.9633,1679.9123,1675.9378,7176075704.0624,0.5764,0.2773
1679.9123,1687.8613,1683.8868,6499150253.6819,0.522,0.2511
1687.8613,1695.8102,1691.8358,5275028319.3112,0.4237,0.2038
1695.8102,1703.7592,1699.7847,3903408235.0521,0.3135,0.1508
1703.7592,1711.7082,1707.7337,5782109833.2932,0.4644,0.2234
1711.7082,1719.6571,1715.6827,6332782458.4669,0.5087,0.2447
1719.6571,1727.6061,1723.6316,5809100853.6587,0.4666,0.2245
1727.6061,1735.5551,1731.5806,7415761861.514,0.5956,0.2866
1735.5551,1743.504,1739.5296,5969013299.1536,0.4794,0.2306
1743.504,1751.453,1747.4785,5843634734.9273,0.4694,0.2258
1751.453,1759.402,1755.4275,6032410897.9074,0.4845,0.2331
1759.402,1767.3509,1763.3765,6372145417.9211,0.5118,0.2462
1767.3509,1775.2999,1771.3254,7501569963.6167,0.6025,0.2899
