price_bin_low,price_bin_high,bin_mid,volume_sum,csi,pct_of_total_volume
8.0765,8.148,8.1122,294660439.9358,0.4626,0.3831
8.148,8.2194,8.1837,343160065.5842,0.5388,0.4461
8.2194,8.2908,8.2551,288344684.7618,0.4527,0.3749
8.2908,8.3622,8.3265,263696316.5529,0.414,0.3428
8.3622,8.4336,8.3979,124078741.512,0.1948,0.1613
8.4336,8.5051,8.4693,175125073.8311,0.2749,0.2277
8.5051,8.5765,8.5408,113818966.6108,0.1787,0.148
8.5765,8.6479,8.6122,93653616.823,0.147,0.1218
8.6479,8.7193,8.6836,108269949.0369,0.17,0.1408
8.7193,8.7907,8.755,126134008.144,0.198,0.164
8.7907,8.8622,8.8265,204698472.4492,0.3214,0.2661
8.8622,8.9336,8.8979,225822069.6396,0.3545,0.2936
8.9336,9.005,8.9693,293127626.6801,0.4602,0.3811
9.005,9.0764,9.0407,269028858.0361,0.4224,0.3498
9.0764,9.1478,9.1121,406048473.4359,0.6375,0.5279
9.1478,9.2193,9.1836,364219352.6597,0.5718,0.4735
9.2193,9.2907,9.255,422685102.1003,0.6636,0.5495
9.2907,9.3621,9.3264,333277292.9437,0.5232,0.4333
9.3621,9.4335,9.3978,374171984.9002,0.5874,0.4865
9.4335,9.505,9.4692,322721787.8361,0.5067,0.4196
9.505,9.5764,9.5407,243556652.5475,0.3824,0.3166
9.5764,9.6478,9.6121,236811537.4799,0.3718,0.3079
9.6478,9.7192,9.6835,212597552.2591,0.3338,0.2764
9.7192,9.7906,9.7549,231184201.525,0.363,0.3006
9.7906,9.8621,9.8263,216500241.4479,0.3399,0.2815
9.8621,9.9335,9.8978,246352421.3015,0.3868,0.3203
9.9335,10.0049,9.9692,236022865.4922,0.3706,0.3069
10.0049,10.0763,10.0406,295484010.387,0.4639,0.3842
10.0763,10.1477,10.112,214150335.0072,0.3362,0.2784
10.1477,10.2192,10.1834,216475787.7427,0.3399,0.2814
10.2192,10.2906,10.2549,173323090.2443,0.2721,0.2253
10.2906,10.362,10.3263,196927352.2588,0.3092,0.256
10.362,10.4334,10.3977,156280345.6776,0.2454,0.2032
10.4334,10.5048,10.4691,214697767.6962,0.3371,0.2791
10.5048,10.5763,10.5406,225546279.6106,0.3541,0.2932
10.5763,10.6477,10.612,229753050.5598,0.3607,0.2987
10.6477,10.7191,10.6834,175225740.3867,0.2751,0.2278
10.7191,10.7905,10.7548,252770800.6958,0.3968,0.3286
10.7905,10.8619,10.8262,163931885.2479,0.2574,0.2131
10.8619,10.9334,10.8977,277739078.2248,0.436,0.3611
10.9334,11.0048,10.9691,303311924.8628,0.4762,0.3943
11.0048,11.0762,11.0405,281077257.761,0.4413,0.3654
11.0762,11.1476,11.1119,411354822.9537,0.6458,0.5348
11.1476,11.219,11.1833,163793268.4981,0.2572,0.2129
11.219,11.2905,11.2548,300751302.338,0.4722,0.391
11.2905,11.3619,11.3262,187769424.7021,0.2948,0.2441
11.3619,11.4333,11.3976,470101200.1664,0.7381,0.6112
11.4333,11.5047,11.469,183815106.0713,0.2886,0.239
11.5047,11.5762,11.5404,206547924.9606,0.3243,0.2685
11.5762,11.6476,11.6119,170911264.713,0.2683,0.2222
11.6476,11.719,11.6833,109820500.1254,0.1724,0.1428
11.719,11.7904,11.7547,62790430.6168,0.0986,0.0816
11.7904,11.8618,11.8261,148762663.5147,0.2336,0.1934
11.8618,11.9333,11.8975,94785971.2613,0.1488,0.1232
11.9333,12.0047,11.969,193424871.3604,0.3037,0.2515
12.0047,12.0761,12.0404,134378891.6019,0.211,0.1747
12.0761,12.1475,12.1118,216713755.6435,0.3402,0.2817
12.1475,12.2189,12.1832,97865944.0863,0.1536,0.1272
12.2189,12.2904,12.2547,79634494.7841,0.125,0.1035
12.2904,12.3618,12.3261,138066662.223,0.2168,0.1795
12.3618,12.4332,12.3975,136946925.7886,0.215,0.178
12.4332,12.5046,12.4689,126556100.1456,0.1987,0.1645
12.5046,12.576,12.5403,196662346.4936,0.3088,0.2557
12.576,12.6475,12.6118,149768588.6644,0.2351,0.1947
12.6475,12.7189,12.6832,132929679.9524,0.2087,0.1728
12.7189,12.7903,12.7546,200043033.4362,0.3141,0.2601
12.7903,12.8617,12.826,201068071.1911,0.3157,0.2614
12.8617,12.9332,12.8974,126977220.5029,0.1994,0.1651
12.9332,13.0046,12.9689,120595295.3584,0.1893,0.1568
13.0046,13.076,13.0403,132889026.6809,0.2086,0.1728
13.076,13.1474,13.1117,202634845.7078,0.3181,0.2634
13.1474,13.2188,13.1831,137911455.2562,0.2165,0.1793
13.2188,13.2903,13.2545,115596496.1024,0.1815,0.1503
13.2903,13.3617,13.326,138302408.8443,0.2171,0.1798
13.3617,13.4331,13.3974,179967482.9627,0.2825,0.234
13.4331,13.5045,13.4688,119305485.9094,0.1873,0.1551
13.5045,13.5759,13.5402,140419632.3441,0.2205,0.1826
13.5759,13.6474,13.6116,136364665.0988,0.2141,0.1773
13.6474,13.7188,13.6831,110721638.7594,0.1738,0.1439
13.7188,13.7902,13.7545,114555447.7637,0.1799,0.1489
13.7902,13.8616,13.8259,103379583.2508,0.1623,0.1344
13.8616,13.933,13.8973,169716602.7621,0.2665,0.2206
13.933,14.0045,13.9688,141371008.7328,0.222,0.1838
14.0045,14.0759,14.0402,191247492.5233,0.3003,0.2486
14.0759,14.1473,14.1116,167258762.5856,0.2626,0.2175
14.1473,14.2187,14.183,189842154.2771,0.298,0.2468
14.2187,14.2901,14.2544,195346872.9761,0.3067,0.254
14.2901,14.3616,14.3259,201157608.1267,0.3158,0.2615
14.3616,14.433,14.3973,165700095.3278,0.2601,0.2154
14.433,14.5044,14.4687,112183142.1338,0.1761,0.1458
14.5044,14.5758,14.5401,140991363.8402,0.2214,0.1833
14.5758,14.6472,14.6115,120467887.4076,0.1891,0.1566
14.6472,14.7187,14.683,63575739.298,0.0998,0.0827
14.7187,14.7901,14.7544,125067989.1106,0.1964,0.1626
14.7901,14.8615,14.8258,106552034.4141,0.1673,0.1385
14.8615,14.9329,14.8972,157383201.138,0.2471,0.2046
14.9329,15.0044,14.9686,148094023.7052,0.2325,0.1925
15.0044,15.0758,15.0401,183260086.6976,0.2877,0.2383
15.0758,15.1472,15.1115,121747364.5917,0.1911,0.1583
15.1472,15.2186,15.1829,143834483.1952,0.2258,0.187
15.2186,15.29,15.2543,96916065.401,0.1522,0.126
15.29,15.3615,15.3257,100790007.9493,0.1582,0.131
15.3615,15.4329,15.3972,124968099.9316,0.1962,0.1625
15.4329,15.5043,15.4686,63460532.8584,0.0996,0.0825
15.5043,15.5757,15.54,152732366.6528,0.2398,0.1986
15.5757,15.6471,15.6114,164032818.0576,0.2575,0.2133
15.6471,15.7186,15.6829,119653209.8345,0.1879,0.1556
15.7186,15.79,15.7543,137078369.7233,0.2152,0.1782
