low,high,recent_strength,all_strength,avg_strength,zone_type,strength
4084,4105,1.0,1.0,1.0,persistent,1.0
3954,3976,0.8091805730833999,0.4815066307393114,0.6453436019113556,short-term,0.6453436019113556
4127,4149,0.7140610275081153,0.49886426517250154,0.6064626463403084,persistent,0.6064626463403084
4105,4127,0.5771066918286848,0.4955959519946238,0.5363513219116542,short-term,0.5363513219116542
4149,4170,0.6301816055032033,0.3927219335360249,0.5114517695196141,short-term,0.5114517695196141
3933,3954,0.24741437913421457,0.7700807080278471,0.5087475435810308,short-term,0.5087475435810308
4494,4516,0.0,0.8490809985542628,0.4245404992771314,short-term,0.4245404992771314
4472,4494,0.0,0.7786606270907971,0.38933031354539854,short-term,0.38933031354539854
4451,4472,0.0,0.7247506729557744,0.3623753364778872,short-term,0.3623753364778872
3825,3846,0.05323223183751165,0.6508437445465609,0.3520379881920363,short-term,0.3520379881920363
4516,4537,0.0,0.6675288139065276,0.3337644069532638,short-term,0.3337644069532638
4321,4343,0.0,0.5424011820640425,0.27120059103202127,short-term,0.27120059103202127
