low,high,recent_strength,all_strength,avg_strength,zone_type,strength
66701,68597,1.0,0.31677214823913136,0.6583860741195657,short-term,0.6583860741195657
68597,70493,0.69869031761418,0.4512847865401379,0.574987552077159,short-term,0.574987552077159
89450,91345,0.0,1.0,0.5,short-term,0.5
87554,89450,0.0,0.9110748137380664,0.4555374068690332,short-term,0.4555374068690332
91345,93241,0.0,0.8203296640192385,0.41016483200961923,short-term,0.41016483200961923
85658,87554,0.0,0.7624408087251138,0.3812204043625569,short-term,0.3812204043625569
110302,112198,0.0,0.5097625307138338,0.2548812653569169,short-term,0.2548812653569169
112198,114094,0.0,0.4067998219393245,0.20339991096966226,short-term,0.20339991096966226
