low,high,recent_strength,all_strength,avg_strength,zone_type,strength
109592.40471296565,110574.56931518068,1.0,0.4018594819317104,0.7009297409658553,short-term,0.7009297409658553
96824.2648841705,97806.4294863855,0.0,1.0,0.5,short-term,0.5
95842.10028195547,96824.2648841705,0.0,0.9294735135219822,0.4647367567609911,short-term,0.4647367567609911
106645.91090632061,107628.07550853564,0.37525989210256294,0.5114344498268844,0.44334717096472365,short-term,0.44334717096472365
94859.93567974046,95842.10028195547,0.0,0.8194012452315705,0.40970062261578527,short-term,0.40970062261578527
93877.77107752545,94859.93567974046,0.0,0.7808855888523273,0.39044279442616364,short-term,0.39044279442616364
97806.4294863855,98788.59408860051,0.0,0.7698141136614536,0.3849070568307268,short-term,0.3849070568307268
104681.5817018906,105663.7463041056,0.0,0.7241253805639494,0.3620626902819747,short-term,0.3620626902819747
103699.41709967557,104681.5817018906,0.0,0.649489684822881,0.3247448424114405,short-term,0.3247448424114405
102717.25249746056,103699.41709967557,0.0,0.6492314583000751,0.32461572915003756,short-term,0.32461572915003756
84056.12505537532,85038.28965759033,0.0,0.6415241021712857,0.3207620510856429,short-term,0.3207620510856429
98788.59408860051,99770.75869081554,0.0,0.6147456607802996,0.3073728303901498,short-term,0.3073728303901498
108610.24011075064,109592.40471296565,0.07421383880055883,0.523627814248453,0.2989208265245059,short-term,0.2989208265245059
83073.96045316031,84056.12505537532,0.0,0.5674197971081535,0.28370989855407674,short-term,0.28370989855407674
100752.92329303053,101735.08789524555,0.0,0.529103112287794,0.264551556143897,short-term,0.264551556143897
