low,high,recent_strength,all_strength,avg_strength,zone_type,strength
1957,2022,1.0,0.24429428155401992,0.6221471407770099,short-term,0.6221471407770099
2932,2997,0.0,1.0,0.5,short-term,0.5
2997,3062,0.0,0.8241580448426258,0.4120790224213129,short-term,0.4120790224213129
3062,3127,0.0,0.6624546309491595,0.33122731547457973,short-term,0.33122731547457973
3192,3257,0.0,0.6250907297566713,0.3125453648783357,short-term,0.3125453648783357
3127,3192,0.0,0.5713802773734519,0.28569013868672594,short-term,0.28569013868672594
2802,2867,0.0,0.5471154907505317,0.27355774537526584,short-term,0.27355774537526584
2867,2932,0.0,0.517814971960033,0.2589074859800165,short-term,0.2589074859800165
3842,3907,0.0,0.5116161766662074,0.2558080883331037,short-term,0.2558080883331037
3322,3387,0.0,0.48812225858435637,0.24406112929217819,short-term,0.24406112929217819
