low,high,recent_strength,all_strength,avg_strength,zone_type,strength
3851,3892,1.0,1.0,1.0,persistent,1.0
3810,3851,0.2501652706812954,0.6521338947238827,0.4511495827025891,short-term,0.4511495827025891
3933,3974,0.0,0.7042188037900926,0.3521094018950463,short-term,0.3521094018950463
3892,3933,0.1266037121850913,0.4630606588005582,0.29483218549282475,short-term,0.29483218549282475
3974,4015,0.0,0.5722696558740745,0.28613482793703726,short-term,0.28613482793703726
4097,4138,0.0,0.5378955662221103,0.26894778311105516,short-term,0.26894778311105516
