low,high,recent_strength,all_strength,avg_strength,zone_type,strength
4145,4187,1.0,0.4726857635216416,0.7363428817608209,short-term,0.7363428817608209
4060,4103,0.7660232628895968,0.27776457339797983,0.5218939181437883,short-term,0.5218939181437883
4272,4314,0.0,1.0,0.5,short-term,0.5
4441,4483,0.0,0.8220005254506967,0.41100026272534834,short-term,0.41100026272534834
4314,4357,0.0,0.8018454063042602,0.4009227031521301,short-term,0.4009227031521301
4483,4526,0.0,0.6785221338053419,0.33926106690267094,short-term,0.33926106690267094
4399,4441,0.0,0.6716670981601881,0.33583354908009405,short-term,0.33583354908009405
4610,4653,0.0,0.6252272303698749,0.31261361518493747,short-term,0.31261361518493747
3849,3891,0.0,0.5570136681736655,0.27850683408683274,short-term,0.27850683408683274
