low,high,recent_strength,all_strength,avg_strength,zone_type,strength
151,155,1.0,0.20855644918877106,0.6042782245943855,short-term,0.6042782245943855
197,201,0.0,1.0,0.5,short-term,0.5
176,180,0.0,0.7181047741017509,0.35905238705087544,short-term,0.35905238705087544
217,222,0.0,0.7103498543064077,0.35517492715320387,short-term,0.35517492715320387
184,188,0.0,0.5888766886540792,0.2944383443270396,short-term,0.2944383443270396
193,197,0.0,0.5440869790951977,0.2720434895475988,short-term,0.2720434895475988
201,205,0.0,0.519830418936389,0.2599152094681945,short-term,0.2599152094681945
180,184,0.0,0.48956090447637896,0.24478045223818948,short-term,0.24478045223818948
226,230,0.0,0.483930056302783,0.2419650281513915,short-term,0.2419650281513915
