low,high,recent_strength,all_strength,avg_strength,zone_type,strength
107961,109104,1.0,0.5350898070115053,0.7675449035057527,short-term,0.7675449035057527
111390,112533,0.4514305129719071,0.8808526934551524,0.6661416032135298,persistent,0.6661416032135298
112533,113676,0.27017225462248795,1.0,0.635086127311244,short-term,0.635086127311244
110247,111390,0.3134759381533166,0.7915402274685234,0.55250808281092,short-term,0.55250808281092
114819,115962,0.0,0.7891728745181943,0.39458643725909714,short-term,0.39458643725909714
